ENSGACP00000000002.1	525	ENSLOCP00000015910.1	632	80.00	388	485	91	1	479	45	529	0.0	 819
ENSGACP00000000003.1	166	ENSLOCP00000021168.1	472	54.71	93	170	68	4	165	300	468	2e-53	 178
ENSGACP00000000004.1	244	ENSLOCP00000000073.1	685	50.83	122	240	115	5	244	9	245	3e-71	 233
ENSGACP00000000005.1	225	ENSLOCP00000010237.1	330	53.91	62	115	53	110	224	129	243	4e-34	 126
ENSGACP00000000006.1	337	ENSLOCP00000009376.1	593	62.21	191	307	93	1	288	21	323	2e-125	 376
ENSGACP00000000008.1	466	ENSLOCP00000010674.1	474	52.69	245	465	202	13	463	9	469	3e-167	 484
ENSGACP00000000009.1	443	ENSLOCP00000010674.1	474	54.07	239	442	188	13	443	5	442	8e-164	 474
ENSGACP00000000010.1	246	ENSLOCP00000009427.1	245	94.31	232	246	13	1	246	1	245	5e-172	 478
ENSGACP00000000011.1	246	ENSLOCP00000009427.1	245	94.29	231	245	13	1	245	1	244	1e-171	 477
ENSGACP00000000012.1	246	ENSLOCP00000009427.1	245	94.67	231	244	12	1	244	1	243	4e-171	 476
ENSGACP00000000013.1	122	ENSLOCP00000007780.1	125	95.87	116	121	5	2	122	5	125	5e-84	 245
ENSGACP00000000014.1	133	ENSLOCP00000007780.1	125	93.60	117	125	8	3	127	1	125	1e-84	 247
ENSGACP00000000015.1	96	ENSLOCP00000007789.1	109	85.42	82	96	14	1	96	14	109	5e-59	 179
ENSGACP00000000016.1	687	ENSLOCP00000016629.1	724	62.87	442	703	242	1	686	20	720	0.0	 922
ENSGACP00000000017.1	824	ENSLOCP00000007771.1	843	70.89	587	828	232	3	824	19	843	0.0	1142
ENSGACP00000000018.1	789	ENSLOCP00000007751.1	795	70.93	566	798	220	1	789	1	795	0.0	1103
ENSGACP00000000019.1	1524	ENSLOCP00000016593.1	1923	85.81	1318	1536	142	19	1524	1	1490	0.0	2663
ENSGACP00000000020.1	797	ENSLOCP00000016604.1	1954	82.21	402	489	51	1	483	258	716	0.0	 826
ENSGACP00000000021.1	804	ENSLOCP00000016671.1	1237	56.42	466	826	321	1	804	429	1237	0.0	 897
ENSGACP00000000022.1	79	ENSLOCP00000009166.1	79	71.43	55	77	22	3	79	3	79	3e-35	 117
ENSGACP00000000023.1	491	ENSLOCP00000009183.1	486	81.26	399	491	78	4	491	7	486	0.0	 785
ENSGACP00000000025.1	420	ENSLOCP00000009198.1	498	81.20	337	415	75	1	414	15	427	0.0	 693
ENSGACP00000000026.1	425	ENSLOCP00000009198.1	498	76.13	319	419	82	8	425	15	416	0.0	 646
ENSGACP00000000027.1	302	ENSLOCP00000021926.1	304	56.03	158	282	124	5	286	15	296	9e-105	 311
ENSGACP00000000028.1	303	ENSLOCP00000021926.1	304	55.83	158	283	125	18	300	15	297	6e-105	 312
ENSGACP00000000029.1	250	ENSLOCP00000021926.1	304	56.28	139	247	108	1	247	51	297	6e-89	 269
ENSGACP00000000030.1	805	ENSLOCP00000009258.1	775	58.71	475	809	260	19	805	19	775	0.0	 884
ENSGACP00000000031.1	428	ENSLOCP00000009239.1	615	76.30	322	422	99	8	428	16	437	0.0	 677
ENSGACP00000000032.1	216	ENSLOCP00000009272.1	476	66.36	73	110	36	105	214	28	136	5e-43	 152
ENSGACP00000000033.1	1066	ENSLOCP00000008944.1	1071	66.88	733	1096	284	9	1063	11	1068	0.0	1418
ENSGACP00000000034.1	259	ENSLOCP00000009023.1	305	61.74	163	264	82	13	259	44	305	3e-106	 313
ENSGACP00000000035.1	226	ENSLOCP00000010237.1	330	54.78	63	115	52	111	225	129	243	1e-34	 128
ENSGACP00000000036.1	270	ENSLOCP00000000073.1	685	51.25	123	240	114	31	270	9	245	2e-71	 234
ENSGACP00000000037.1	429	ENSLOCP00000008859.1	435	75.99	326	429	100	1	426	1	429	0.0	 657
ENSGACP00000000038.1	434	ENSLOCP00000008859.1	435	80.92	352	435	82	1	434	1	435	0.0	 720
ENSGACP00000000039.1	889	ENSLOCP00000016756.1	887	88.31	786	890	100	1	889	1	887	0.0	1551
ENSGACP00000000041.1	905	ENSLOCP00000016756.1	887	88.29	784	888	100	19	905	3	887	0.0	1547
ENSGACP00000000040.1	578	ENSLOCP00000004977.1	616	79.66	470	590	83	1	578	1	565	0.0	 924
ENSGACP00000000043.1	873	ENSLOCP00000005050.1	946	68.46	597	872	252	19	873	26	891	0.0	1228
ENSGACP00000000044.1	183	ENSLOCP00000016743.1	556	60.54	112	185	65	1	183	378	556	3e-73	 233
ENSGACP00000000045.1	876	ENSLOCP00000005098.1	984	70.63	635	899	236	1	876	91	984	0.0	1328
ENSGACP00000000046.1	87	ENSLOCP00000022468.1	87	90.80	79	87	8	1	87	1	87	1e-53	 165
ENSGACP00000000047.1	926	ENSLOCP00000005127.1	1044	52.45	513	978	381	20	926	54	1018	0.0	 848
ENSGACP00000000048.1	890	ENSLOCP00000008994.1	935	47.52	432	909	393	3	890	90	935	0.0	 732
